number,name,status
319,Python Synchronize/Asynchronize Block,"Standards Track, Rejected"
321,Date/Time Parsing and Formatting,"Standards Track, Withdrawn"
325,Resource-Release Support for Generators,"Standards Track, Rejected"
326,A Case for Top and Bottom Values,"Standards Track, Rejected"
329,Treating Builtins as Constants in the Standard Library,"Standards Track, Rejected"
330,Python Bytecode Verification,"Standards Track, Rejected"
332,Byte vectors and String/Unicode Unification,"Standards Track, Rejected"
334,Simple Coroutines via SuspendIteration,"Standards Track, Withdrawn"
335,Overloadable Boolean Operators,"Standards Track, Rejected"
336,Make None Callable,"Standards Track, Rejected"
339,Design of the CPython Compiler,"Informational, Withdrawn"
340,Anonymous Block Statements,"Standards Track, Rejected"
344,Exception Chaining and Embedded Tracebacks,"Standards Track, Superseded"
345,Metadata for Python Software Packages 1.2,"Standards Track, Superseded"
346,User Defined (“with”) Statements,"Standards Track, Withdrawn"
348,Exception Reorganization for Python 3.0,"Standards Track, Rejected"
349,Allow str() to return unicode strings,"Standards Track, Rejected"
350,Codetags,"Informational, Rejected"
351,The freeze protocol,"Standards Track, Rejected"
354,Enumerations in Python,"Standards Track, Superseded"
355,Path - Object oriented filesystem paths,"Standards Track, Rejected"
359,The “make” Statement,"Standards Track, Withdrawn"
363,Syntax For Dynamic Attribute Access,"Standards Track, Rejected"
364,Transitioning to the Py3K Standard Library,"Standards Track, Withdrawn"
365,Adding the pkg_resources module,"Standards Track, Rejected"
367,New Super,"Standards Track, Superseded"
369,Post import hooks,"Standards Track, Withdrawn"
377,Allow __enter__() methods to skip the statement body,"Standards Track, Rejected"
379,Adding an Assignment Expression,"Standards Track, Withdrawn"
381,Mirroring infrastructure for PyPI,"Standards Track, Withdrawn"
382,Namespace Packages,"Standards Track, Rejected"
386,Changing the version comparison module in Distutils,"Standards Track, Superseded"
390,Static metadata for Distutils,"Standards Track, Rejected"
395,Qualified Names for Modules,"Standards Track, Withdrawn"
396,Module Version Numbers,"Informational, Withdrawn"
401,BDFL Retirement,"Process, Rejected"
402,Simplified Package Layout and Partitioning,"Standards Track, Rejected"
406,Improved Encapsulation of Import State,"Standards Track, Withdrawn"
408,Standard library __preview__ package,"Standards Track, Rejected"
410,Use decimal.Decimal type for timestamps,"Standards Track, Rejected"
411,Provisional packages in the Python standard library,"Informational, Superseded"
413,Faster evolution of the Python Standard Library,"Process, Withdrawn"
416,Add a frozendict builtin type,"Standards Track, Rejected"
422,Simpler customisation of class creation,"Standards Track, Withdrawn"
426,Metadata for Python Software Packages 2.0,"Informational, Withdrawn"
431,Time zone support improvements,"Standards Track, Superseded"
432,Restructuring the CPython startup sequence,"Standards Track, Withdrawn"
433,Easier suppression of file descriptor inheritance,"Standards Track, Superseded"
437,"A DSL for specifying signatures, annotations and argument converters","Standards Track, Rejected"
439,Inclusion of implicit pip bootstrap in Python installation,"Standards Track, Rejected"
455,Adding a key-transforming dictionary to collections,"Standards Track, Rejected"
459,Standard Metadata Extensions for Python Software Packages,"Standards Track, Withdrawn"
460,Add binary interpolation and formatting,"Standards Track, Withdrawn"
462,Core development workflow automation for CPython,"Process, Withdrawn"
463,Exception-catching expressions,"Standards Track, Rejected"
469,Migration of dict iteration code to Python 3,"Standards Track, Withdrawn"
472,Support for indexing with keyword arguments,"Standards Track, Rejected"
473,Adding structured data to built-in exceptions,"Standards Track, Rejected"
474,Creating forge.python.org,"Process, Withdrawn"
481,"Migrate CPython to Git, Github, and Phabricator","Process, Withdrawn"
490,Chain exceptions at C level,"Standards Track, Rejected"
496,Environment Markers,"Informational, Rejected"
497,A standard mechanism for backward compatibility,"Process, Rejected"
500,A protocol for delegating datetime methods to their tzinfo implementations,"Standards Track, Rejected"
501,General purpose template literal strings,"Standards Track, Withdrawn"
502,String Interpolation - Extended Discussion,"Informational, Rejected"
504,Using the System RNG by default,"Standards Track, Withdrawn"
507,Migrate CPython to Git and GitLab,"Process, Rejected"
509,Add a private version to dict,"Standards Track, Superseded"
510,Specialize functions with guards,"Standards Track, Rejected"
511,API for code transformers,"Standards Track, Rejected"
513,A Platform Tag for Portable Linux Built Distributions,"Informational, Superseded"
516,Build system abstraction for pip/conda etc,"Standards Track, Rejected"
521,Managing global context via ‘with’ blocks in generators and coroutines,"Standards Track, Withdrawn"
522,Allow BlockingIOError in security sensitive APIs,"Standards Track, Rejected"
531,Existence checking operators,"Standards Track, Withdrawn"
536,Final Grammar for Literal String Interpolation,"Standards Track, Withdrawn"
542,Dot Notation Assignment In Function Header,"Standards Track, Rejected"
543,A Unified TLS API for Python,"Standards Track, Withdrawn"
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,"Standards Track, Rejected"
548,More Flexible Loop Control,"Standards Track, Rejected"
549,Instance Descriptors,"Standards Track, Rejected"
550,Execution Context,"Standards Track, Withdrawn"
551,Security transparency in the Python runtime,"Informational, Withdrawn"
554,Multiple Interpreters in the Stdlib,"Standards Track, Superseded"
555,Context-local variables (contextvars),"Standards Track, Withdrawn"
558,Defined semantics for locals(),"Standards Track, Withdrawn"
559,Built-in noop(),"Standards Track, Rejected"
571,The manylinux2010 Platform Tag,"Informational, Superseded"
575,Unifying function/method classes,"Standards Track, Withdrawn"
576,Rationalize Built-in function classes,"Standards Track, Withdrawn"
577,Augmented Assignment Expressions,"Standards Track, Withdrawn"
580,The C call protocol,"Standards Track, Rejected"
582,Python local packages directory,"Standards Track, Rejected"
583,A Concurrency Memory Model for Python,"Informational, Withdrawn"
595,Improving bugs.python.org,"Informational, Withdrawn"
598,Introducing incremental feature releases,"Informational, Withdrawn"
599,The manylinux2014 Platform Tag,"Informational, Superseded"
601,Forbid return/break/continue breaking out of finally,"Standards Track, Rejected"
605,A rolling feature release stream for CPython,"Informational, Rejected"
606,Python Compatibility Version,"Standards Track, Rejected"
608,Coordinated Python release,"Standards Track, Rejected"
611,The one million limit,"Standards Track, Withdrawn"
620,Hide implementation details from the C API,"Standards Track, Withdrawn"
622,Structural Pattern Matching,"Standards Track, Superseded"
631,Dependency specification in pyproject.toml based on PEP 508,"Standards Track, Superseded"
633,Dependency specification in pyproject.toml using an exploded TOML table,"Standards Track, Rejected"
637,Support for indexing with keyword arguments,"Standards Track, Rejected"
640,Unused variable syntax,"Standards Track, Rejected"
641,Using an underscore in the version portion of Python 3.10 compatibility tags,"Standards Track, Rejected"
642,Explicit Pattern Syntax for Structural Pattern Matching,"Standards Track, Rejected"
645,Allow writing optional types as x?,"Standards Track, Withdrawn"
648,Extensible customizations of the interpreter at startup,"Standards Track, Rejected"
650,Specifying Installer Requirements for Python Projects,"Standards Track, Withdrawn"
651,Robust Stack Overflow Handling,"Standards Track, Rejected"
662,Editable installs via virtual wheels,"Standards Track, Rejected"
663,"Standardizing Enum str(), repr(), and format() behaviors","Informational, Rejected"
665,A file format to list Python dependencies for reproducibility of an application,"Standards Track, Rejected"
666,Reject Foolish Indentation,"Standards Track, Rejected"
677,Callable Type Syntax,"Standards Track, Rejected"
690,Lazy Imports,"Standards Track, Rejected"
704,Require virtual environments by default for package installers,"Standards Track, Withdrawn"
707,A simplified signature for __exit__ and __aexit__,"Standards Track, Rejected"
712,Adding a “converter” parameter to dataclasses.field,"Standards Track, Rejected"
713,Callable Modules,"Standards Track, Rejected"
722,Dependency specification for single-file scripts,"Standards Track, Rejected"
724,Stricter Type Guards,"Standards Track, Withdrawn"
726,Module __setattr__ and __delattr__,"Standards Track, Rejected"
754,IEEE 754 Floating Point Special Values,"Standards Track, Rejected"
756,Add PyUnicode_Export() and PyUnicode_Import() C functions,"Standards Track, Withdrawn"
760,No More Bare Excepts,"Standards Track, Withdrawn"
3001,Procedure for reviewing and improving standard library modules,"Process, Withdrawn"
3103,A Switch/Case Statement,"Standards Track, Rejected"
3117,Postfix type declarations,"Standards Track, Rejected"
3122,Delineation of the main module,"Standards Track, Rejected"
3125,Remove Backslash Continuation,"Standards Track, Rejected"
3126,Remove Implicit String Concatenation,"Standards Track, Rejected"
3128,BList: A Faster List-like Type,"Standards Track, Rejected"
3130,Access to Current Module/Class/Function,"Standards Track, Rejected"
3133,Introducing Roles,"Standards Track, Rejected"
3136,Labeled break and continue,"Standards Track, Rejected"
3139,Cleaning out sys and the “interpreter” module,"Standards Track, Rejected"
3140,"str(container) should call str(item), not repr(item)","Standards Track, Rejected"
3142,Add a “while” clause to generator expressions,"Standards Track, Rejected"
3145,Asynchronous I/O For subprocess.Popen,"Standards Track, Withdrawn"
3146,Merging Unladen Swallow into CPython,"Standards Track, Withdrawn"
3152,Cofunctions,"Standards Track, Rejected"
3153,Asynchronous IO support,"Standards Track, Superseded"
8010,The Technical Leader Governance Model,"Informational, Rejected"
8011,Python Governance Model Lead by Trio of Pythonistas,"Informational, Rejected"
8012,The Community Governance Model,"Informational, Rejected"
8013,The External Council Governance Model,"Informational, Rejected"
8014,The Commons Governance Model,"Informational, Rejected"
8015,Organization of the Python community,"Informational, Rejected"
801,RESERVED,Unknown
